date,variety,warehouses,total,pre_total,diff,cancel_wh,cancel_sum,reg_wh,reg_sum
2026-01-05,lc,19,20281,20281,0,0,0,0,0
2026-01-06,lc,20,23141,20281,2860,0,0,8,2860
2026-01-07,lc,20,25180,23141,2039,0,0,4,2039
2026-01-08,lc,21,25770,25180,590,0,0,3,590
2026-01-09,lc,21,25360,25770,-410,3,-1450,4,1040
2026-01-12,lc,21,25970,25360,610,0,0,2,610
2026-01-13,lc,21,26898,25970,928,0,0,6,928
2026-01-14,lc,21,27158,26898,260,2,-160,5,420
2026-01-15,lc,21,27205,27158,47,3,-94,3,141
2026-01-16,lc,21,27458,27205,253,2,-47,1,300
2026-01-19,lc,20,27698,27458,240,1,-80,2,320
2026-01-20,lc,20,27681,27698,-17,1,-17,0,0
2026-01-21,lc,20,28656,27681,975,0,0,4,975
2026-01-22,lc,20,28886,28656,230,0,0,3,230
2026-01-23,lc,20,28156,28886,-730,2,-860,3,130
2026-01-26,lc,20,28646,28156,490,0,0,5,490
2026-01-27,lc,20,29166,28646,520,1,-30,4,550
2026-01-28,lc,20,29966,29166,800,0,0,5,800
2026-01-29,lc,20,30211,29966,245,1,-5,2,250
2026-01-30,lc,20,30631,30211,420,0,0,3,420
2026-02-02,lc,21,32241,30631,1610,0,0,7,1610
2026-02-03,lc,21,33084,32241,843,3,-87,4,930
2026-02-04,lc,21,34114,33084,1030,0,0,6,1030
2026-02-05,lc,22,33787,34114,-327,2,-1157,6,830
2026-02-06,lc,22,33777,33787,-10,1,-880,3,870
2026-02-09,lc,22,34597,33777,820,0,0,4,820
2026-02-10,lc,22,35537,34597,940,0,0,5,940
2026-02-11,lc,22,35527,35537,-10,1,-10,0,0
2026-02-12,lc,22,37282,35527,1755,1,-30,6,1785
2026-02-13,lc,22,38759,37282,1477,1,-60,7,1537
2026-02-24,lc,22,38855,38759,96,1,-20,3,116
2026-02-25,lc,22,38525,38855,-330,1,-390,1,60
2026-02-26,lc,22,38451,38525,-74,2,-254,1,180
2026-02-27,lc,22,38461,38451,10,3,-320,3,330
2026-03-02,lc,22,38196,38461,-265,3,-535,3,270
2026-03-03,lc,22,37755,38196,-441,4,-441,0,0
2026-03-04,lc,22,37155,37755,-600,5,-600,0,0
2026-03-05,lc,23,36840,37155,-315,6,-904,5,589
2026-03-06,lc,23,36330,36840,-510,3,-1260,3,750
2026-03-09,lc,23,36861,36330,531,4,-202,3,733
2026-03-10,lc,23,37019,36861,158,3,-439,3,597
2026-03-11,lc,23,36739,37019,-280,4,-310,1,30
2026-03-12,lc,23,36455,36739,-284,7,-460,2,176
2026-03-13,lc,23,36403,36455,-52,4,-202,1,150
2026-03-16,lc,23,36393,36403,-10,3,-450,1,440
2026-03-17,lc,23,36465,36393,72,4,-398,1,470
2026-03-18,lc,23,35769,36465,-696,8,-846,1,150
2026-03-19,lc,23,34740,35769,-1029,7,-1029,0,0
2026-03-20,lc,23,34318,34740,-422,5,-870,4,448
2026-03-23,lc,23,33537,34318,-781,6,-781,0,0
2026-03-24,lc,23,32078,33537,-1459,5,-1557,3,98
2026-03-25,lc,23,31460,32078,-618,7,-878,3,260
2026-03-26,lc,23,30751,31460,-709,6,-1789,4,1080
2026-03-27,lc,22,30111,30751,-640,5,-1030,5,390
2026-03-30,lc,22,31064,30111,953,2,-170,4,1123
2026-03-31,lc,22,11318,31064,-19746,22,-19746,0,0
2026-04-01,lc,14,17658,11318,6340,0,0,9,6340
2026-04-02,lc,16,19238,17658,1580,0,0,3,1580
2026-04-03,lc,18,21238,19238,2000,0,0,9,2000
2026-04-07,lc,18,21508,21238,270,0,0,4,270
2026-04-08,lc,18,23654,21508,2146,0,0,7,2146
2026-04-09,lc,18,24664,23654,1010,1,-30,4,1040
2026-04-10,lc,18,25453,24664,789,0,0,4,789
2026-04-13,lc,18,26203,25453,750,1,-30,3,780
2026-04-14,lc,18,27523,26203,1320,0,0,6,1320
2026-04-15,lc,18,28383,27523,860,1,-30,5,890
2026-04-16,lc,18,29423,28383,1040,0,0,4,1040
2026-04-17,lc,18,30023,29423,600,0,0,4,600
2026-04-20,lc,19,30688,30023,665,0,0,4,665
2026-04-21,lc,19,32268,30688,1580,0,0,5,1580
2026-04-22,lc,19,32658,32268,390,1,-10,4,400
2026-04-23,lc,19,33359,32658,701,1,-30,3,731
2026-04-24,lc,19,34298,33359,939,1,-10,5,949
2026-04-27,lc,19,35327,34298,1029,0,0,4,1029
2026-04-28,lc,19,36392,35327,1065,1,-30,6,1095
2026-04-29,lc,19,36962,36392,570,0,0,5,570
2026-04-30,lc,19,38012,36962,1050,0,0,6,1050
2026-05-06,lc,20,39041,38012,1029,0,0,6,1029
2026-05-07,lc,21,42631,39041,3590,0,0,8,3590
2026-05-08,lc,21,43930,42631,1299,2,-21,6,1320
2026-05-11,lc,21,43880,43930,-50,2,-50,0,0
2026-05-12,lc,21,45954,43880,2074,2,-80,6,2154
2026-05-13,lc,21,47720,45954,1766,0,0,7,1766
